no,content,score,date
1,39 그래도 우리 잘 해냈지   39 라고 말하는 듯한 마지막 눈빛교환이 잊혀지질 않는다,9,2016.12.07 10:48
2,와  그냥 감탄밖엔 안 나온다  영상미며 음악이며  조폭  건달  검사  신파 좋아하고 실험을 꺼리는 한국의 기성 영화인들 반성해라  이제 겨우 두 편 만든 신인감독이 이 정도다,9,2016.12.07 08:57
3,처음 들을때는 몰랐다 이 음악이 슬퍼질거란걸,7,2016.12.07 11:20
4,꿈과 사랑  우리는 항상 성공인지 실패인지 평가만 해왔다  하지만 라라랜드는 말해준다    34 봐  꿈과 사랑  그 흔들리는 파도가 얼마나 아름다운지  34,10,2016.12.07 01:23
5,내일 죽으면 오늘 보러 갈만한 영화,10,2016.12.07 00:16
6,마지막 회상신에서 처음과 달리 키스신으로 스토리시작될때 진짜 소리지를뻔,9,2016.12.07 19:19
7,마지막 10분 동안 휘몰아치는 감정의 소용돌이에 결국 눈물이 흐르게 만드는 마법같은 영화  노트북 때에도 그렇고 라이언 고슬링은 이런 역할에 도가 튼 것 같다,10,2016.12.07 05:48
8,관람객       연인들을 위한 영화가 아니다  여성관객들을 위한 영화도 아니다  이 영화는 꿈꾸는 모든 이들을 위한 영화  인생을 논하는 영화,10,2016.12.08 16:27
9,관람객       재즈가 이토록 설레고 이렇게 슬프다니 라라랜드는 슬픔과 환희의 설레임이다,10,2016.12.07 12:11
10,위플래시가 음악에 대한 광기라면 이 영화는 열정이다  같은날 개봉되는 삼류 국산영화는 범접조차 할수 없다,10,2016.12.07 00:04
11,관람객       운행종료한 놀이공원에 노래가 계속 나오는 것같다,10,2016.12.10 15:53
12,이 영화의 백미는 마지막 부분에 남녀 주인공들의    장면들    이렇게 되지 못한 결말을 맞지만 그래도 서로의 꿈을 이루고 인정하는 듯한 둘만의 미소     뭔가 가슴 찡했다,10,2016.12.08 14:55
13,관람객       슬프기 짝이 없는 상상,7,2016.12.07 11:22
14,다미엔 차젤레 감독은 관객에게 황홀한 마법을 걸었다  재즈에 대한 애정을 담아 연출했고 꿈 꾸는 모든 이들을 위한 영화  롱테이크 오프닝 시퀀스     부터 이미 매료되었고 엔딩까지 한 편의 동화 같은 현실 이야기  라이언 고슬링 눈빛이 여운을 남긴다,10,2016.12.07 00:19
